"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","동복구매방식(학교주관구매)","동복구매방식(공동구매)","동복구매방식(개별구매)","동복구매방식(기타)","동복구매방식(기타사유)","동복구매방식(해당없음)","동복(평균)가격","하복구매방식(학교주관구매)","하복구매방식(공동구매)","하복구매방식(개별구매)","하복구매방식(기타)","하복구매방식(기타사유)","하복구매방식(해당없음)","하복(평균)가격","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117010100","01","S010002381","서울삼광초등학교","02","공립","Y","학교급 초등학교로 교복을 착용하지 않음.","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117013300","01","S010002382","서울서빙고초등학교","02","공립","Y","해당없음(교복미착용)","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111018600","01","S010002383","서울세검정초등학교","02","공립","Y","교복 미구매","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성동광진교육지원청","B100000337","서울특별시 성동구","1120010200","01","S010002384","서울숭신초등학교","02","공립","Y","교복 미착용","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117012900","01","S010002385","서울신용산초등학교","02","공립","Y","해당 사항 없음.","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117012500","01","S010002386","서울용산초등학교","02","공립","Y","공립초등학교로 해당없음.","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117010200","01","S010002387","서울용암초등학교","02","공립","Y","교복미착용(초등학교)","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117011500","01","S010002388","서울원효초등학교","02","공립","Y","교복 미착용","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117013000","01","S010002389","서울이태원초등학교","02","공립","Y","교복을 착용하지 않음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 중구","1114016200","01","S010002390","서울장충초등학교","02","공립","Y","교복 미착용학교","","","","","","","","","","","","","","","2","초","2022"
